,Pulled_ID,Pulled_Movie_Name,Pulled_Release_Date,Budget,Revenue,Profit,Gender,Preformer
80,10020,Beauty and the Beast,1991-11-13,25000000,377350553,352350553,1,Paige O'Hara
81,465109,The Week Of,2018-04-27,0,0,0,2,Adam Sandler
82,525041,A Christmas Prince: The Royal Wedding,2018-11-30,0,0,0,1,Rose McIver
83,15596,Back to School,1986-06-13,11000000,91258000,80258000,2,Rodney Dangerfield
84,689723,Dangerous Lies,2020-05-30,0,0,0,1,Camila Mendes
85,645489,Gunjan Saxena: The Kargil Girl,2020-08-12,0,0,0,2,Pankaj Tripathi
86,262709,Dangerous Intuition,2013-11-18,500000,0,-500000,1,Genea Charpentier
87,478100,The Most Assassinated Woman in the World,2018-09-07,0,0,0,1,Anna Mouglalis
88,631060,Things Heard & Seen,2021-04-29,0,0,0,1,Amanda Seyfried
89,470558,To Each Her Own,2008-09-18,0,0,0,0,Kelly Ames
90,586333,Who Would You Take to a Deserted Island?,2019-03-22,0,0,0,2,Pol Monen
91,352492,XOXO,2016-08-26,0,0,0,1,Sarah Hyland
92,624963,A Babysitter's Guide to Monster Hunting,2020-10-14,0,0,0,1,Tamara Smart
93,587693,A Christmas Prince: The Royal Baby,2019-12-05,0,0,0,1,Rose McIver
94,588001,Despite Everything,2019-03-16,0,0,0,1,Blanca Suárez
95,639414,Dolly Kitty and Those Twinkling Stars,2019-10-04,0,0,0,1,Konkona Sen Sharma
96,658777,Freaks – You're One of Us,2020-09-02,0,0,0,1,Cornelia Gröschel
97,456750,"Game Over, Man!",2018-03-23,0,0,0,2,Adam DeVine
98,675592,Guilty,2020-03-06,0,0,0,1,Kiara Advani
99,523139,In the Tall Grass,2019-09-20,0,0,0,2,Patrick Wilson
100,660006,Madame Claude,2021-04-02,0,0,0,1,Karole Rocher
101,433251,Naked,2017-08-11,0,0,0,2,Marlon Wayans
102,775996,Outside the Wire,2021-01-15,0,0,0,2,Anthony Mackie
103,643882,The Princess Switch: Switched Again,2020-11-19,10000000,0,-10000000,1,Vanessa Hudgens
104,694234,Under the Riccione Sun,2020-07-01,3000000,0,-3000000,2,Cristiano Caccamo
105,364067,A Very Murray Christmas,2015-12-04,0,0,0,2,Bill Murray
106,462469,Been So Long,2018-10-12,0,0,0,1,Michaela Coel
107,625248,Dead Kids,2019-11-17,0,0,0,0,Kelvin Miranda
108,812592,Get the Grift,2021-04-28,0,0,0,1,Samantha Schmütz
109,586245,Ghosts of Sugar Land,2019-01-26,0,0,0,0,Kc Okoro
110,645998,House Arrest,2019-11-15,0,0,0,2,Ali Fazal
111,580001,Kevin Hart's Guide to Black History,2019-02-08,0,0,0,2,Kevin Hart
112,624808,Love Wedding Repeat,2020-04-10,0,0,0,2,Sam Claflin
113,401371,Mute,2018-02-23,0,0,0,2,Alexander Skarsgård
114,47443,L.T.R.,2002-01-01,0,0,0,2,Cole Williams
115,649087,Red Dot,2021-02-11,0,0,0,2,Johannes Bah Kuhnke
116,796124,Ride or Die,2021-02-09,0,0,0,0,Vanessa Allen
117,431072,Step Sisters,2018-01-19,10000000,0,-10000000,1,Eden Sher
118,384521,The Cloverfield Paradox,2018-02-04,45000000,0,-45000000,1,Gugu Mbatha-Raw
